time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450350000	14.3644	20.6034	4.92483	2.76972	0.502824	radar	1.06669	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1194	20.6764	4.93795	2.80076	0.507915	lidar	0.609815	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8787	20.7519	4.96227	2.83152	0.516639	radar	0.301308	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6006	20.8186	5.0353	2.86386	0.521914	lidar	1.42515	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3461	20.8562	5.07668	2.90804	0.548352	radar	2.54507	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1078	20.8941	5.04321	2.93989	0.552474	lidar	0.23632	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8725	20.9532	5.02811	2.96275	0.548353	radar	1.7826	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6917	20.9877	4.88985	2.98736	0.547152	lidar	2.20384	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4313	21.0319	4.94687	3.01447	0.54868	radar	2.54762	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1878	21.0683	4.94795	3.03917	0.546257	lidar	0.109625	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9462	21.0894	4.95852	3.06905	0.55191	radar	1.06228	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7116	21.0591	4.90813	3.11071	0.564922	lidar	2.08443	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4605	21.0474	4.92364	3.14547	0.572215	radar	1.176	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2565	21.0373	4.8359	3.17552	0.574599	lidar	0.739025	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9956	21.0016	4.8807	3.21345	0.584073	radar	4.2946	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7971	20.9612	4.78483	3.24967	0.591672	lidar	0.651839	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5541	20.9538	4.7268	3.26618	0.571972	radar	5.10603	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2625	20.9827	4.85331	3.27208	0.549694	lidar	3.32199	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0266	20.962	4.83882	3.29436	0.544242	radar	0.994807	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
